source_document,source_page,source_url,program_name_raw,program_name_standardized,mapping_type,fiscal_year,metric_type,amount,raw_value,metric_context
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Seattle Collegian,Seattle Collegian,same,2024-25,request,79142.0,"$79,142.00",biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Services & Activities Fees Committee,Services & Activities Fees Committee,same,2024-25,request,24131.32,"$24,131.32",biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Engagement,Student Engagement,same,2024-25,request,0.0,$0.00,biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Leadership Program,Student Leadership Program,same,2024-25,request,169417.55,"$169,417.55",biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Organization Hub,Student Organization Hub,same,2024-25,request,123000.0,"$123,000.00",biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Resource Support,Student Resource Support,same,2024-25,request,0.0,$0.00,biennial_adjustment_request
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Wood Technology Center,Wood Technology Center,same,2024-25,request,28860.0,"$28,860.00",biennial_adjustment_request
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,AANAPISI,AANAPISI,same,2025-26,allocation,36630.28,"$36,630.28",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,ASC Book Fund,ASC Book Fund,same,2025-26,allocation,0.0,$0.00,
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Accessibility, Community, &
Opportunity","Accessibility, Community, & Opportunity",same,2025-26,allocation,10700.0,"$10,700.00",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Associated Student Council,Associated Student Council,same,2025-26,allocation,96748.0,"$96,748.00",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Child Assist Program [combined in
SSP]",Child Assist Program,merged_into_ssp,2025-26,allocation,,--,
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Cultural Programming & Development
(CAB)",Cultural Programming & Development (CAB),same,2025-26,allocation,148650.92,"$148,650.92",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Emergency Fund,Emergency Fund,same,2025-26,allocation,50000.0,"$50,000",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,First Year Experience Peer Mentors,First Year Experience Peer Mentors,same,2025-26,allocation,20314.25,"$20,314.25",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Food and Resource Pantry,Food and Resource Pantry,same,2025-26,allocation,30000.0,"$30,000",
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Information Central,Information Central,same,2025-26,allocation,186282.0,"$186,282.00",
